metric,V1,V2,V3,V4,LOC,FFA,OPA,PPA
sum_all,-0.019519011314325967,-0.011997136685824115,-0.004634630840404514,-0.02768567929474563,0.003599202092310421,-0.03318570930127222,-0.045549927662322486,-0.1019280967101826
l1_norm,-0.019641528172140477,-0.013191208654998007,-0.012114972802269969,-0.021996081691893977,-0.005690093584290872,-0.05597846380178389,-0.051276978246190576,-0.07506852855387225
