metric,dataset,V1,V2,V3,V4,LOC,FFA,OPA,PPA
l1_norm,Scenes,0.00023913880073482143,-0.005443360973866904,-0.0032304940551145037,-0.00719572990847583,-0.012697707894813066,-0.05054669329901568,-0.02976000000779089,-0.07503476096160831
l1_norm,COCO,-0.029963447716508676,-0.01731673373465283,-0.01722005299830734,-0.027650178297473883,-0.006244330793979241,-0.07425890250404683,-0.05042894283464316,-0.09243806311307565
l1_norm,ImageNet,-0.02236936076655106,-0.01491587378854918,-0.015833875202140295,-0.02887724282386323,0.009319356606780363,-0.030695743364839854,-0.07056894364928988,-0.07887113606761678
sum_all,Scenes,-0.001339801552516745,0.0020993107933606208,-0.001415367942802841,-0.02247765231270294,-0.0015011474455048448,-0.03498004551515888,-0.015819409832965956,-0.09166565323562534
sum_all,COCO,-0.021737079554342908,-0.02146373519285354,-0.00993898113272245,-0.02393303778689738,0.0016672061466809142,-0.04640518727923146,-0.046220639142890624,-0.12493521813321043
sum_all,ImageNet,-0.03032091855791881,-0.016114193830426556,-0.009639825842697344,-0.041486457829378084,0.021196999673458446,-0.011775499041719125,-0.0665462672839462,-0.12218047626020635
