metric,V1,V2,V3,V4,LOC,FFA,OPA,PPA
sum_all,-0.01943701166506101,-0.010810793343358473,-0.0020109387884683703,-0.02600253136685135,0.0016147104438343873,-0.03494963325686874,-0.04712058325640677,-0.10227497045944944
l1_norm,-0.020505503380791996,-0.012786736671003872,-0.011845948204888643,-0.022059241203515757,-0.007992363635367549,-0.060133736086430786,-0.05232774804057829,-0.07622258518358277
