,metabolic_costs,pleasure
0,16002328,0.244293229550586
1,15924260,-0.160666870163843
2,14714449,-0.0307663309339497
3,14562821,-0.371715130136815
4,16684594,-0.159705953813958
5,15077416,-0.11857124305397
6,17253114,-0.338649703313993
7,16940017,0.45700640346494
8,15770599,-0.273472186178151
9,19773920,0.0043604885395505
10,20852254,0.0308064467542367
11,16780225,-0.0821998988153392
12,14093917,0.059890307667973
13,22437544,0.356313361621277
14,15679263,0.083912753956331
15,15882552,0.0420051746398581
16,18503081,0.0549402808700993
17,15417654,-0.0550180292665872
18,18442127,0.0451907627614839
19,20190926,0.0562767042288677
20,17524899,0.428112382843094
21,21723136,0.415996709414454
22,18075142,0.301309626159063
23,13869787,0.578303083569132
24,15860542,0.0591022151455511
25,14696949,-0.0829248448701031
26,16798882,-0.199580553130159
27,16858310,-0.290358978405024
28,15517891,0.0253412684077862
29,13044819,0.115563714091505
30,14403787,0.268073671753911
31,18154326,-0.0193130960283076
32,20025471,0.231970123423884
33,19566693,0.261799901675296
34,19497231,0.187048593821795
35,19911925,0.0441404409418205
36,16421307,0.364976080810737
37,18158138,0.0217151578928859
38,15037912,0.0691541212921069
39,16257970,-0.162653381142313
40,11749877,-0.477185462287298
41,16423581,-0.127102672158256
42,16080771,-0.117242312585918
43,17803367,-0.156443595483954
44,16440510,-0.0165319436525317
45,13383346,0.162586976992054
46,13670591,-0.209107353889166
47,15270855,-0.0694511306544876
48,13879804,0.32767586062545
49,14386445,0.0139978968555514
50,17552466,-0.149358110082302
51,15754964,0.0060425051952478
52,16810926,0.258812692306695
53,12934701,-0.380596541874413
54,14136211,-0.390277136195084
55,13099830,-0.024116164154885
56,19072864,-0.0226739999579923
57,18297222,0.0956773196430177
58,17971006,-0.025734112536903
59,17867336,-0.0736432289279168
60,15416146,-0.269325479397055
61,20291953,-0.132396554356197
62,15262904,-0.127497967226896
63,14859334,-0.29676957104109
64,20752532,0.196264950458417
65,21133403,0.172486633434433
66,17276076,-0.0768328145481042
67,20719209,-0.020030913867393
68,17452165,0.0112890205479777
69,17178557,-0.130113270115253
70,15588988,-0.130882143502732
71,13535073,-0.0900891550607814
72,14133027,0.0512989969221272
73,14326206,0.0292459571576463
74,20360080,-0.04985243887803
75,16470707,0.134522382142647
76,16470606,0.178635075214001
77,18128216,-0.0630373211651205
78,17089915,0.194704926923681
79,16317702,0.0466543478977983
80,16297019,0.247361850649398
81,16559399,0.36258623851249
82,18091473,0.476098259519611
83,15585950,-0.164690596233257
84,19866169,0.393613071184379
85,14920066,0.274140392284803
86,18662100,0.436094839772122
87,17766518,0.194384296984918
88,16426577,0.328452419500553
89,17902845,0.0876361806777027
90,13881088,0.0972427239049403
91,14911105,0.218666823415344
